"path","lines","current_layer","category","runtime_class","reason","proposed_path","action","direct_dependencies","referenced_by","name_classification","stage_name_occurrences","compatibility_gate","delete_safe","ambiguous_reference_count"
"contrib/satcompute/fault/model/f2-radiation-fault-model.cc","124","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/model/f2-radiation-fault-model.cc","KEEP","contrib/satcompute/fault/model/f2-radiation-fault-model.h [include:5]","contrib/satcompute/CMakeLists.txt:51 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/model/f2-radiation-fault-model.h","75","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/model/f2-radiation-fault-model.h","KEEP","contrib/satcompute/fault/fault-para.h [include:8]","contrib/satcompute/CMakeLists.txt:156 [build_reference]; contrib/satcompute/fault/model/compute-failure-predictor.h:9 [include]; contrib/satcompute/fault/model/compute-failure-predictor.h:9 [literal_code_reference]; contrib/satcompute/fault/model/f2-radiation-fault-model.cc:5 [include]; contrib/satcompute/fault/model/f2-radiation-fault-model.cc:5 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-model-engine.h:15 [include]; contrib/satcompute/fault/runtime/fault-model-engine.h:15 [literal_code_reference]; contrib/satcompute/tests/unit/fault-model-test.cc:10 [include]; contrib/satcompute/tests/unit/fault-model-test.cc:10 [literal_code_reference]; contrib/satcompute/tools/validation/f2-exposure-calibration.cc:7 [include]; contrib/satcompute/tools/validation/f2-exposure-calibration.cc:7 [literal_code_reference]; contrib/satcompute/tools/validation/f2-spatial-validation.cc:7 [include]; contrib/satcompute/tools/validation/f2-spatial-validation.cc:7 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/model/f3-debris-fault-model.cc","175","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/model/f3-debris-fault-model.cc","KEEP","contrib/satcompute/common/time-conversion.h [include:6]; contrib/satcompute/fault/model/f3-debris-fault-model.h [include:5]","contrib/satcompute/CMakeLists.txt:52 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/model/f3-debris-fault-model.h","63","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/model/f3-debris-fault-model.h","KEEP","contrib/satcompute/fault/fault-para.h [include:8]","contrib/satcompute/CMakeLists.txt:157 [build_reference]; contrib/satcompute/fault/model/f3-debris-fault-model.cc:5 [include]; contrib/satcompute/fault/model/f3-debris-fault-model.cc:5 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-model-engine.h:16 [include]; contrib/satcompute/fault/runtime/fault-model-engine.h:16 [literal_code_reference]; contrib/satcompute/tests/unit/fault-model-test.cc:11 [include]; contrib/satcompute/tests/unit/fault-model-test.cc:11 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/parameter/fault-parameter-validator.cc","190","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/parameter/fault-parameter-validator.cc","KEEP","contrib/satcompute/fault/parameter/fault-parameter-validator.h [include:5]","contrib/satcompute/CMakeLists.txt:53 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/parameter/fault-parameter-validator.h","32","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/parameter/fault-parameter-validator.h","KEEP","contrib/satcompute/fault/fault-para.h [include:8]","contrib/satcompute/CMakeLists.txt:158 [build_reference]; contrib/satcompute/fault/parameter/fault-parameter-validator.cc:5 [include]; contrib/satcompute/fault/parameter/fault-parameter-validator.cc:5 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-model-engine.cc:8 [include]; contrib/satcompute/fault/runtime/fault-model-engine.cc:8 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-prediction-engine.cc:8 [include]; contrib/satcompute/fault/runtime/fault-prediction-engine.cc:8 [literal_code_reference]; contrib/satcompute/tests/unit/fault-model-test.cc:7 [include]; contrib/satcompute/tests/unit/fault-model-test.cc:7 [literal_code_reference]; contrib/satcompute/tools/validation/f1-calibration.cc:7 [include]; contrib/satcompute/tools/validation/f1-calibration.cc:7 [literal_code_reference]; contrib/satcompute/tools/validation/f2-exposure-calibration.cc:8 [include]; contrib/satcompute/tools/validation/f2-exposure-calibration.cc:8 [literal_code_reference]; contrib/satcompute/tools/validation/f2-spatial-validation.cc:8 [include]; contrib/satcompute/tools/validation/f2-spatial-validation.cc:8 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/runtime/compute-failure-probability-record.h","34","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/runtime/compute-failure-probability-record.h","KEEP","","contrib/satcompute/CMakeLists.txt:160 [build_reference]; contrib/satcompute/fault/runtime/fault-model-engine.h:10 [include]; contrib/satcompute/fault/runtime/fault-model-engine.h:10 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-prediction-engine.h:8 [include]; contrib/satcompute/fault/runtime/fault-prediction-engine.h:8 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/runtime/fault-controller.cc","574","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/runtime/fault-controller.cc","KEEP","contrib/satcompute/fault/runtime/fault-controller.h [include:7]; contrib/satcompute/task/task-coordinator.h [include:9]; contrib/satcompute/topology/satellite-topology-controller.h [include:10]","contrib/satcompute/CMakeLists.txt:54 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/runtime/fault-controller.h","139","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/runtime/fault-controller.h","KEEP","contrib/satcompute/fault/runtime/fault-state.h [include:8]; contrib/satcompute/fault/trace/fault-trace.h [include:10]","contrib/satcompute/CMakeLists.txt:159 [build_reference]; contrib/satcompute/fault/runtime/fault-controller.cc:7 [include]; contrib/satcompute/fault/runtime/fault-controller.cc:7 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-model-engine.h:8 [include]; contrib/satcompute/fault/runtime/fault-model-engine.h:8 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-prediction-engine.cc:7 [include]; contrib/satcompute/fault/runtime/fault-prediction-engine.cc:7 [literal_code_reference]; contrib/satcompute/metrics/core/fault-metrics.cc:9 [include]; contrib/satcompute/metrics/core/fault-metrics.cc:9 [literal_code_reference]; contrib/satcompute/metrics/metrics.cc:9 [include]; contrib/satcompute/metrics/metrics.cc:9 [literal_code_reference]; contrib/satcompute/satcompute.cc:11 [include]; contrib/satcompute/satcompute.cc:11 [literal_code_reference]; contrib/satcompute/tests/support/fault-injection.h:5 [include]; contrib/satcompute/tests/support/fault-injection.h:5 [literal_code_reference]; contrib/satcompute/tests/unit/cb-sat-recovery-test.cc:10 [include]; contrib/satcompute/tests/unit/cb-sat-recovery-test.cc:10 [literal_code_reference]; contrib/satcompute/tests/unit/compute-fault-execution-test.cc:5 [include]; contrib/satcompute/tests/unit/compute-fault-execution-test.cc:5 [literal_code_reference]; contrib/satcompute/tests/unit/satellite-fault-execution-test.cc:6 [include]; contrib/satcompute/tests/unit/satellite-fault-execution-test.cc:6 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/runtime/fault-model-engine.cc","796","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/runtime/fault-model-engine.cc","KEEP","contrib/satcompute/common/time-conversion.h [include:10]; contrib/satcompute/fault/model/compute-failure-predictor.h [include:7]; contrib/satcompute/fault/parameter/fault-parameter-validator.h [include:8]; contrib/satcompute/fault/runtime/fault-model-engine.h [include:5]; contrib/satcompute/task/compute-service.h [include:11]; contrib/satcompute/task/task-coordinator.h [include:12]; contrib/satcompute/topology/orbit/online-orbit-constellation.h [include:13]","contrib/satcompute/CMakeLists.txt:55 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/runtime/fault-model-engine.h","270","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/runtime/fault-model-engine.h","KEEP","contrib/satcompute/fault/fault-para.h [include:12]; contrib/satcompute/fault/model/compute-failure-predictor.h [include:11]; contrib/satcompute/fault/model/compute-fault-combination.h [include:13]; contrib/satcompute/fault/model/f1-self-state-fault-model.h [include:14]; contrib/satcompute/fault/model/f2-radiation-fault-model.h [include:15]; contrib/satcompute/fault/model/f3-debris-fault-model.h [include:16]; contrib/satcompute/fault/runtime/compute-failure-probability-record.h [include:10]; contrib/satcompute/fault/runtime/fault-controller.h [include:8]","contrib/satcompute/CMakeLists.txt:161 [build_reference]; contrib/satcompute/fault/runtime/fault-model-engine.cc:5 [include]; contrib/satcompute/fault/runtime/fault-model-engine.cc:5 [literal_code_reference]; contrib/satcompute/metrics/core/fault-metrics.cc:10 [include]; contrib/satcompute/metrics/core/fault-metrics.cc:10 [literal_code_reference]; contrib/satcompute/metrics/metrics.cc:10 [include]; contrib/satcompute/metrics/metrics.cc:10 [literal_code_reference]; contrib/satcompute/protection/runtime/frequency-protection-controller.h:4 [include]; contrib/satcompute/protection/runtime/frequency-protection-controller.h:4 [literal_code_reference]; contrib/satcompute/protection/runtime/n5c-placement-tracker.h:6 [include]; contrib/satcompute/protection/runtime/n5c-placement-tracker.h:6 [literal_code_reference]; contrib/satcompute/satcompute.cc:13 [include]; contrib/satcompute/satcompute.cc:13 [literal_code_reference]; contrib/satcompute/tests/unit/fault-risk-query-test.cc:3 [include]; contrib/satcompute/tests/unit/fault-risk-query-test.cc:3 [literal_code_reference]; contrib/satcompute/tools/validation/compfrr-shadow/compfrr-shadow-evaluator.h:5 [include]; contrib/satcompute/tools/validation/compfrr-shadow/compfrr-shadow-evaluator.h:5 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/runtime/fault-prediction-engine.cc","332","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/runtime/fault-prediction-engine.cc","KEEP","contrib/satcompute/common/time-conversion.h [include:10]; contrib/satcompute/fault/parameter/fault-parameter-validator.h [include:8]; contrib/satcompute/fault/runtime/fault-controller.h [include:7]; contrib/satcompute/fault/runtime/fault-prediction-engine.h [include:5]; contrib/satcompute/task/compute-service.h [include:11]; contrib/satcompute/task/task-coordinator.h [include:12]; contrib/satcompute/topology/orbit/online-orbit-constellation.h [include:13]","contrib/satcompute/CMakeLists.txt:56 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/runtime/fault-prediction-engine.h","124","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/runtime/fault-prediction-engine.h","KEEP","contrib/satcompute/fault/fault-para.h [include:11]; contrib/satcompute/fault/model/compute-failure-predictor.h [include:9]; contrib/satcompute/fault/runtime/compute-failure-probability-record.h [include:8]","contrib/satcompute/CMakeLists.txt:162 [build_reference]; contrib/satcompute/fault/runtime/fault-prediction-engine.cc:5 [include]; contrib/satcompute/fault/runtime/fault-prediction-engine.cc:5 [literal_code_reference]; contrib/satcompute/metrics/core/fault-metrics.cc:11 [include]; contrib/satcompute/metrics/core/fault-metrics.cc:11 [literal_code_reference]; contrib/satcompute/metrics/metrics.cc:11 [include]; contrib/satcompute/metrics/metrics.cc:11 [literal_code_reference]; contrib/satcompute/satcompute.cc:14 [include]; contrib/satcompute/satcompute.cc:14 [literal_code_reference]; contrib/satcompute/tests/unit/compute-fault-execution-test.cc:7 [include]; contrib/satcompute/tests/unit/compute-fault-execution-test.cc:7 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/runtime/fault-state.cc","125","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/runtime/fault-state.cc","KEEP","contrib/satcompute/fault/runtime/fault-state.h [include:5]","contrib/satcompute/CMakeLists.txt:57 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/runtime/fault-state.h","57","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/runtime/fault-state.h","KEEP","contrib/satcompute/fault/trace/fault-definition.h [include:8]","contrib/satcompute/CMakeLists.txt:163 [build_reference]; contrib/satcompute/fault/runtime/fault-controller.h:8 [include]; contrib/satcompute/fault/runtime/fault-controller.h:8 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-state.cc:5 [include]; contrib/satcompute/fault/runtime/fault-state.cc:5 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/trace/fault-definition.cc","49","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/trace/fault-definition.cc","KEEP","contrib/satcompute/fault/trace/fault-definition.h [include:5]","contrib/satcompute/CMakeLists.txt:58 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/trace/fault-definition.h","49","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/trace/fault-definition.h","KEEP","","contrib/satcompute/CMakeLists.txt:164 [build_reference]; contrib/satcompute/fault/runtime/fault-state.h:8 [include]; contrib/satcompute/fault/runtime/fault-state.h:8 [literal_code_reference]; contrib/satcompute/fault/trace/fault-definition.cc:5 [include]; contrib/satcompute/fault/trace/fault-definition.cc:5 [literal_code_reference]; contrib/satcompute/fault/trace/fault-trace.h:8 [include]; contrib/satcompute/fault/trace/fault-trace.h:8 [literal_code_reference]; contrib/satcompute/task/task-coordinator.h:17 [include]; contrib/satcompute/task/task-coordinator.h:17 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/trace/fault-trace.cc","282","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/trace/fault-trace.cc","KEEP","contrib/satcompute/fault/trace/fault-trace.h [include:7]","contrib/satcompute/CMakeLists.txt:59 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/trace/fault-trace.h","42","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/trace/fault-trace.h","KEEP","contrib/satcompute/fault/trace/fault-definition.h [include:8]","contrib/satcompute/CMakeLists.txt:165 [build_reference]; contrib/satcompute/fault/runtime/fault-controller.h:10 [include]; contrib/satcompute/fault/runtime/fault-controller.h:10 [literal_code_reference]; contrib/satcompute/fault/trace/fault-trace.cc:7 [include]; contrib/satcompute/fault/trace/fault-trace.cc:7 [literal_code_reference]; contrib/satcompute/satcompute.cc:15 [include]; contrib/satcompute/satcompute.cc:15 [literal_code_reference]; contrib/satcompute/tests/unit/fault-trace-test.cc:3 [include]; contrib/satcompute/tests/unit/fault-trace-test.cc:3 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/metrics/core/fault-metrics.cc","416","outside-protection","PUBLIC_SUBSTRATE","","实际 WU/bytes/storage/events 和方案 DTO 的输出；不反向驱动算法","contrib/satcompute/metrics/core/fault-metrics.cc","KEEP","contrib/satcompute/fault/runtime/fault-controller.h [include:9]; contrib/satcompute/fault/runtime/fault-model-engine.h [include:10]; contrib/satcompute/fault/runtime/fault-prediction-engine.h [include:11]; contrib/satcompute/metrics/core/fault-metrics.h [include:7]; contrib/satcompute/task/task-coordinator.h [include:12]","contrib/satcompute/CMakeLists.txt:60 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/metrics/core/fault-metrics.h","35","outside-protection","PUBLIC_SUBSTRATE","","实际 WU/bytes/storage/events 和方案 DTO 的输出；不反向驱动算法","contrib/satcompute/metrics/core/fault-metrics.h","KEEP","contrib/satcompute/traffic/network-transfer-records.h [include:8]","contrib/satcompute/CMakeLists.txt:166 [build_reference]; contrib/satcompute/metrics/core/fault-metrics.cc:7 [include]; contrib/satcompute/metrics/core/fault-metrics.cc:7 [literal_code_reference]; contrib/satcompute/metrics/metrics.cc:12 [include]; contrib/satcompute/metrics/metrics.cc:12 [literal_code_reference]; contrib/satcompute/tests/unit/cb-sat-recovery-test.cc:7 [include]; contrib/satcompute/tests/unit/cb-sat-recovery-test.cc:7 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/metrics/core/flow-metrics.cc","334","outside-protection","PUBLIC_SUBSTRATE","","实际 WU/bytes/storage/events 和方案 DTO 的输出；不反向驱动算法","contrib/satcompute/metrics/core/flow-metrics.cc","KEEP","contrib/satcompute/metrics/core/flow-metrics.h [include:7]","contrib/satcompute/CMakeLists.txt:61 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/metrics/core/flow-metrics.h","68","outside-protection","PUBLIC_SUBSTRATE","","实际 WU/bytes/storage/events 和方案 DTO 的输出；不反向驱动算法","contrib/satcompute/metrics/core/flow-metrics.h","KEEP","contrib/satcompute/traffic/network-transfer-records.h [include:8]","contrib/satcompute/CMakeLists.txt:167 [build_reference]; contrib/satcompute/metrics/core/flow-metrics.cc:7 [include]; contrib/satcompute/metrics/core/flow-metrics.cc:7 [literal_code_reference]; contrib/satcompute/metrics/core/run-summary.h:8 [include]; contrib/satcompute/metrics/core/run-summary.h:8 [literal_code_reference]; contrib/satcompute/metrics/diagnostics/failure-diagnostics.h:8 [include]; contrib/satcompute/metrics/diagnostics/failure-diagnostics.h:8 [literal_code_reference]; contrib/satcompute/metrics/diagnostics/flow-drop-reason-diagnostics.h:8 [include]; contrib/satcompute/metrics/diagnostics/flow-drop-reason-diagnostics.h:8 [literal_code_reference]; contrib/satcompute/metrics/metrics.cc:13 [include]; contrib/satcompute/metrics/metrics.cc:13 [literal_code_reference]; contrib/satcompute/satcompute.cc:16 [include]; contrib/satcompute/satcompute.cc:16 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/metrics/core/frequency-metrics.cc","176","outside-protection","SCHEME_EXPORT_ADAPTER","","方案特定 Frequency/P DTO 导出；只读，不驱动决策；共用实际账本但不是中性 scorer 接口","contrib/satcompute/metrics/core/frequency-metrics.cc","KEEP","contrib/satcompute/protection/runtime/frequency-protection-controller.h [include:2]","contrib/satcompute/CMakeLists.txt:42 [build_reference]","","","现有合同不变","false","0"
