constellation,node_count,candidate_count,window_index,window_offset_s,interval_s,snapshot_count,reference_unique_edge_set_count,reference_edge_transition_count,held_unique_edge_set_count,absolute_edge_state_errors,normalized_edge_state_disagreement,endpoint_mismatch_seconds,missed_active_edges,spurious_active_edges,missed_transition_count,mean_event_timing_error_s,p95_event_timing_error_s,max_event_timing_error_s,maximum_stale_duration_s,component_count_mismatch_seconds,unreachable_pair_error_sum,max_unreachable_pair_error,reference_unique_ecmp_candidate_fingerprint_count,held_unique_ecmp_candidate_fingerprint_count,exact_candidate_match_ratio,candidate_mismatch_pair_seconds,candidate_count_mismatch_pair_seconds,shortest_hop_mismatch_pair_seconds,reachability_mismatch_pair_seconds,mean_candidate_jaccard,p05_candidate_jaccard,minimum_candidate_jaccard,reference_ecmp_pair_fraction,held_ecmp_pair_fraction,routing_mode,reference_selected_next_hop_change_count,selected_next_hop_exact_match_ratio,selected_next_hop_mismatch_count,selected_candidate_survival_ratio,selected_candidate_missing_count,candidate_count_trace_mismatch_count,event_candidate_count_trace_mismatch_count,reachability_mismatch_count,output_bytes,checker_wall_time_s,topology_wall_time_min_s,topology_wall_time_median_s,topology_wall_time_max_s,topology_peak_rss_kib,route_recomputation_count,passes_fidelity_gate,all_tested_intervals_fidelity_equivalent
synthetic-66-compute-22,66,121,0,0,20,51,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.7692307692307693,0.7692307692307693,global-first,0,1.0,0,1.0,0,0,0,0,1012204,0.02451585599919781,1.477655239,1.483224877,1.509918594,30212,50,True,True
synthetic-66-compute-22,66,121,0,0,20,51,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.7692307692307693,0.7692307692307693,global-hash-per-flow,0,1.0,0,1.0,0,0,0,0,1012204,0.02451585599919781,1.477655239,1.483224877,1.509918594,30212,50,True,True
synthetic-66-compute-22,66,121,0,0,20,51,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.7692307692307693,0.7692307692307693,global-hrw-per-flow,0,1.0,0,1.0,0,0,0,0,1012204,0.02451585599919781,1.477655239,1.483224877,1.509918594,30212,50,True,True
synthetic-66-compute-22,66,121,1,2009,1,1001,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.7692307692307693,0.7692307692307693,global-first,0,1.0,0,1.0,0,0,0,0,19769964,0.4875071190035669,,,,,1000,True,True
synthetic-66-compute-22,66,121,1,2009,1,1001,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.7692307692307693,0.7692307692307693,global-hash-per-flow,0,1.0,0,1.0,0,0,0,0,19769964,0.4875071190035669,,,,,1000,True,True
synthetic-66-compute-22,66,121,1,2009,1,1001,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.7692307692307693,0.7692307692307693,global-hrw-per-flow,0,1.0,0,1.0,0,0,0,0,19769964,0.4875071190035669,,,,,1000,True,True
synthetic-66-compute-22,66,121,1,2009,2,501,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.7692307692307693,0.7692307692307693,global-first,0,1.0,0,1.0,0,0,0,0,9897462,0.247329327998159,,,,,500,True,True
synthetic-66-compute-22,66,121,1,2009,2,501,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.7692307692307693,0.7692307692307693,global-hash-per-flow,0,1.0,0,1.0,0,0,0,0,9897462,0.247329327998159,,,,,500,True,True
synthetic-66-compute-22,66,121,1,2009,2,501,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.7692307692307693,0.7692307692307693,global-hrw-per-flow,0,1.0,0,1.0,0,0,0,0,9897462,0.247329327998159,,,,,500,True,True
synthetic-66-compute-22,66,121,1,2009,5,201,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1.0,0.7692307692307693,0.7692307692307693,global-first,0,1.0,0,1.0,0,0,0,0,3973962,0.09954326699516969,,,,,200,True,True
